strategy,round,side,amount,result,bankroll,roi
Player1_Martingale,131,Tai,200000.00,Win,96292500.00,-3.71%
Player1_Martingale,132,Tai,50000.00,Lose,96242500.00,-3.76%
Player1_Martingale,133,Tai,100000.00,Lose,96142500.00,-3.86%
Player1_Martingale,134,Xiu,200000.00,Lose,95942500.00,-4.06%
Player1_Martingale,135,Tai,400000.00,Lose,95542500.00,-4.46%
Player1_Martingale,136,Xiu,800000.00,Win,96302500.00,-3.70%
Player1_Martingale,137,Xiu,50000.00,Lose,96252500.00,-3.75%
Player1_Martingale,138,Tai,100000.00,Lose,96152500.00,-3.85%
Player1_Martingale,139,Tai,200000.00,Lose,95952500.00,-4.05%
Player1_Martingale,140,Tai,400000.00,Lose,95552500.00,-4.45%
Player1_Martingale,141,Tai,800000.00,Win,96312500.00,-3.69%
Player1_Martingale,142,Xiu,50000.00,Lose,96262500.00,-3.74%
Player1_Martingale,143,Tai,100000.00,Lose,96162500.00,-3.84%
Player1_Martingale,144,Xiu,200000.00,Win,96352500.00,-3.65%
Player1_Martingale,145,Tai,50000.00,Lose,96302500.00,-3.70%
Player1_Martingale,146,Xiu,100000.00,Win,96397500.00,-3.60%
Player1_Martingale,147,Tai,50000.00,Lose,96347500.00,-3.65%
Player1_Martingale,148,Tai,100000.00,Lose,96247500.00,-3.75%
Player1_Martingale,149,Tai,200000.00,Win,96437500.00,-3.56%
Player1_Martingale,150,Xiu,50000.00,Lose,96387500.00,-3.61%
Player1_Martingale,151,Xiu,100000.00,Lose,96287500.00,-3.71%
Player1_Martingale,152,Tai,200000.00,Win,96477500.00,-3.52%
Player1_Martingale,153,Xiu,50000.00,Win,96525000.00,-3.48%
Player1_Martingale,154,Xiu,50000.00,Win,96572500.00,-3.43%
Player1_Martingale,155,Xiu,50000.00,Win,96620000.00,-3.38%
Player1_Martingale,156,Xiu,50000.00,Lose,96570000.00,-3.43%
Player1_Martingale,157,Tai,100000.00,Win,96665000.00,-3.33%
Player1_Martingale,158,Tai,50000.00,Lose,96615000.00,-3.38%
Player1_Martingale,159,Tai,100000.00,Lose,96515000.00,-3.48%
Player1_Martingale,160,Xiu,200000.00,Lose,96315000.00,-3.69%
